All ´a´ string increasing length,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2,1.03744e-008,1.1978e-008,1.46767e-008,1.47932e-008,1.54889e-008,1.5147e-008,1.64224e-008,1.71334e-008,1.5586e-008,1.3994e-008,1.42239e-008,1.36696e-008,1.37072e-008,1.72697e-008,1.67222e-008,1.55984e-008,1.9519e-008,1.95692e-008,1.38916e-008,1.41312e-008,1.50358e-008,1.54614e-008,1.50034e-008,1.97841e-008,2.05971e-008,1.74496e-008,2.38001e-008,1.98783e-008,2.01226e-008,
4,1.64679e-008,1.28099e-008,1.88339e-008,1.97571e-008,1.98004e-008,1.86931e-008,2.09478e-008,2.08983e-008,1.99581e-008,1.89578e-008,1.89811e-008,1.90424e-008,1.91011e-008,2.43006e-008,2.68074e-008,2.26092e-008,2.79181e-008,2.83195e-008,2.22567e-008,2.30546e-008,2.18904e-008,2.20119e-008,2.12329e-008,3.02652e-008,3.09921e-008,2.69021e-008,3.63229e-008,3.52731e-008,3.75487e-008,
8,2.23569e-008,1.27293e-008,2.60803e-008,2.05741e-008,2.06459e-008,2.447e-008,2.78132e-008,2.77383e-008,2.64918e-008,2.47683e-008,2.54672e-008,2.56625e-008,2.55958e-008,3.00639e-008,3.369e-008,2.74054e-008,3.55356e-008,3.44498e-008,3.0415e-008,2.90256e-008,2.94867e-008,3.20926e-008,2.67257e-008,3.94035e-008,4.18463e-008,3.37873e-008,4.85577e-008,5.37041e-008,4.56074e-008,
16,2.58596e-008,1.09569e-008,2.45933e-008,2.44983e-008,2.45514e-008,2.96603e-008,3.52327e-008,3.02239e-008,3.11537e-008,2.93522e-008,2.90105e-008,2.93745e-008,2.86027e-008,3.45258e-008,3.97082e-008,3.25344e-008,4.09111e-008,4.05653e-008,3.59051e-008,3.57932e-008,3.69717e-008,3.98873e-008,3.05023e-008,4.16892e-008,4.53486e-008,4.18124e-008,5.16739e-008,6.09434e-008,4.85671e-008,
32,2.99535e-008,1.10626e-008,3.03738e-008,2.99315e-008,3.02251e-008,3.63885e-008,5.06556e-008,3.83231e-008,3.61857e-008,3.54375e-008,3.45742e-008,3.49968e-008,3.51696e-008,3.91776e-008,4.56334e-008,3.80724e-008,4.97241e-008,4.60796e-008,4.19694e-008,4.21629e-008,4.53357e-008,5.27e-008,3.77068e-008,4.78671e-008,4.81519e-008,5.636e-008,5.53123e-008,7.04731e-008,6.22658e-008,
64,3.75221e-008,1.06252e-008,2.87879e-008,2.88642e-008,3.59244e-008,3.98623e-008,4.93325e-008,4.09888e-008,3.94165e-008,4.08069e-008,3.9862e-008,4.22515e-008,4.23425e-008,4.27834e-008,4.94971e-008,4.49601e-008,6.23053e-008,5.33608e-008,5.13068e-008,5.03231e-008,5.54953e-008,6.22143e-008,4.38897e-008,4.66638e-008,4.77038e-008,7.63984e-008,5.56127e-008,7.31784e-008,6.36621e-008,
128,5.52381e-008,1.10719e-008,2.91929e-008,3.60441e-008,4.82014e-008,4.44251e-008,7.16252e-008,4.89518e-008,4.69953e-008,4.74421e-008,5.08119e-008,5.51898e-008,6.05897e-008,4.68418e-008,5.29563e-008,5.01625e-008,7.24424e-008,5.96129e-008,5.69304e-008,5.88141e-008,6.5141e-008,7.30316e-008,6.07576e-008,4.67844e-008,4.81167e-008,1.21139e-007,5.61886e-008,7.84459e-008,6.51688e-008,
256,8.91638e-008,1.15994e-008,2.90029e-008,3.63233e-008,4.92768e-008,5.27758e-008,7.39488e-008,5.63989e-008,5.123e-008,5.37882e-008,6.06585e-008,7.39638e-008,9.83823e-008,5.11253e-008,5.76554e-008,5.58026e-008,9.17728e-008,6.62146e-008,6.48094e-008,7.13264e-008,7.5304e-008,8.37797e-008,9.48429e-008,4.68121e-008,4.90616e-008,2.06977e-007,5.75611e-008,8.01073e-008,6.77112e-008,
512,1.57737e-007,1.21682e-008,3.67937e-008,5.00748e-008,7.83441e-008,6.23287e-008,1.03926e-007,6.98995e-008,6.06848e-008,6.14352e-008,7.58541e-008,9.86705e-008,1.43006e-007,5.99285e-008,6.29449e-008,6.08774e-008,1.09032e-007,7.17872e-008,7.1859e-008,7.559e-008,8.37152e-008,9.52236e-008,1.68452e-007,4.72105e-008,4.90245e-008,3.81962e-007,5.64538e-008,8.50989e-008,7.40236e-008,
1024,2.9605e-007,3.50726e-008,3.92463e-008,5.28363e-008,1.38668e-007,7.29572e-008,1.23402e-007,8.3115e-008,6.89286e-008,7.3582e-008,9.28947e-008,1.33421e-007,2.04268e-007,6.49704e-008,6.92817e-008,6.66275e-008,1.27808e-007,7.76224e-008,7.62684e-008,9.39246e-008,1.02088e-007,1.24513e-007,3.00709e-007,4.81169e-008,4.96112e-008,7.22466e-007,5.90078e-008,8.59655e-008,7.36704e-008,
2048,5.68239e-007,6.50152e-008,3.76887e-008,8.10631e-008,2.66808e-007,8.87712e-008,1.74484e-007,1.05871e-007,8.4139e-008,8.93989e-008,1.16903e-007,1.75317e-007,2.91358e-007,7.70448e-008,7.90497e-008,7.61004e-008,1.54722e-007,8.70591e-008,8.71573e-008,1.20202e-007,1.44153e-007,1.46068e-007,5.78678e-007,5.51668e-008,5.90413e-008,1.41478e-006,6.23664e-008,8.68235e-008,7.75401e-008,
4096,1.12556e-006,6.7517e-008,5.10093e-008,8.21345e-008,5.40291e-007,1.14021e-007,2.26544e-007,1.36266e-007,1.04689e-007,1.09615e-007,1.48275e-007,2.40242e-007,4.13757e-007,9.05917e-008,9.35455e-008,8.93872e-008,1.90384e-007,9.95258e-008,1.02308e-007,1.39941e-007,1.68161e-007,1.65088e-007,1.12859e-006,6.19591e-008,6.67304e-008,2.80193e-006,7.04601e-008,9.40302e-008,8.13013e-008,
8192,2.26878e-006,7.32217e-008,1.07907e-007,1.65331e-007,1.11268e-006,1.45432e-007,3.27541e-007,1.98039e-007,1.45951e-007,1.46768e-007,2.06961e-007,3.38577e-007,6.02594e-007,1.24289e-007,1.21664e-007,1.14222e-007,2.6292e-007,1.29706e-007,1.29041e-007,1.54177e-007,1.96597e-007,1.87355e-007,2.27727e-006,7.07197e-008,7.61009e-008,5.63793e-006,7.79072e-008,1.05696e-007,9.19497e-008,
