Random-10 string increasing length,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2,1.13631e-008,1.26005e-008,1.4739e-008,1.47886e-008,1.47807e-008,1.30948e-008,1.19615e-008,1.18979e-008,1.19842e-008,1.19239e-008,1.19656e-008,1.19445e-008,1.20288e-008,1.19267e-008,1.18588e-008,1.42309e-008,1.22422e-008,1.22358e-008,1.1228e-008,1.3686e-008,1.19301e-008,1.23149e-008,1.49543e-008,2.05191e-008,1.53313e-008,1.75208e-008,2.37773e-008,1.96994e-008,2.01144e-008,
4,1.17185e-008,1.28898e-008,1.68341e-008,1.68224e-008,1.68592e-008,1.38727e-008,1.39634e-008,1.40614e-008,1.40644e-008,1.33803e-008,1.3485e-008,1.34516e-008,1.39704e-008,1.32216e-008,1.34012e-008,1.64163e-008,1.5252e-008,1.55404e-008,1.28778e-008,1.72864e-008,1.38688e-008,1.39147e-008,2.35258e-008,3.38346e-008,1.7047e-008,2.87042e-008,3.87949e-008,3.4796e-008,3.45127e-008,
8,9.07189e-009,1.15606e-008,1.50034e-008,1.53337e-008,1.53624e-008,1.16168e-008,1.2013e-008,1.19929e-008,1.21844e-008,1.21236e-008,1.21204e-008,1.21337e-008,1.20927e-008,1.10741e-008,1.13749e-008,1.50457e-008,1.36923e-008,1.37703e-008,1.08116e-008,1.77657e-008,1.17243e-008,1.17746e-008,3.12792e-008,4.51449e-008,1.29411e-008,3.60973e-008,5.24768e-008,5.14641e-008,4.99118e-008,
16,9.08419e-009,1.15704e-008,1.55426e-008,1.54307e-008,1.54589e-008,1.16565e-008,1.16881e-008,1.18936e-008,1.18864e-008,1.23114e-008,1.18252e-008,1.17842e-008,1.17933e-008,1.06364e-008,1.09839e-008,1.42147e-008,1.20191e-008,1.29518e-008,1.01168e-008,1.93918e-008,1.10338e-008,1.07997e-008,3.62035e-008,5.09636e-008,1.33922e-008,4.87804e-008,6.10649e-008,6.81858e-008,5.33777e-008,
32,8.6298e-009,1.10784e-008,1.40697e-008,1.41798e-008,1.41104e-008,1.03285e-008,1.10242e-008,1.11247e-008,1.11329e-008,1.1109e-008,1.11479e-008,1.1099e-008,1.11087e-008,1.00615e-008,1.03434e-008,1.43749e-008,1.20807e-008,1.23678e-008,9.64648e-009,2.20938e-008,1.09379e-008,1.07266e-008,4.47597e-008,5.7779e-008,1.20456e-008,6.51944e-008,6.7145e-008,8.03827e-008,7.33198e-008,
64,7.89346e-009,1.09575e-008,1.40626e-008,1.52929e-008,1.47203e-008,1.07134e-008,1.11136e-008,1.10552e-008,1.09453e-008,1.10096e-008,1.10615e-008,1.1017e-008,1.09983e-008,9.90293e-009,1.0207e-008,1.42976e-008,1.20633e-008,1.2859e-008,1.00861e-008,2.31023e-008,1.07625e-008,1.06796e-008,5.32294e-008,5.82192e-008,1.23232e-008,8.94188e-008,6.5992e-008,8.58483e-008,7.34474e-008,
128,8.36657e-009,1.14006e-008,1.45222e-008,1.42878e-008,1.41353e-008,1.08313e-008,1.11635e-008,1.12138e-008,1.11127e-008,1.11344e-008,1.21897e-008,1.10893e-008,1.1127e-008,9.95441e-009,1.02841e-008,1.43594e-008,1.2025e-008,1.31288e-008,1.01326e-008,2.70844e-008,1.08684e-008,1.0659e-008,7.43062e-008,5.82951e-008,1.33949e-008,1.36443e-007,6.69826e-008,9.30539e-008,7.5562e-008,
256,8.06492e-009,1.13715e-008,1.53796e-008,1.48921e-008,1.48409e-008,1.08671e-008,1.13436e-008,1.1232e-008,1.11962e-008,1.13009e-008,1.1262e-008,1.13132e-008,1.11344e-008,1.00852e-008,1.04548e-008,1.44645e-008,1.21382e-008,1.44173e-008,1.03736e-008,2.89742e-008,1.09738e-008,1.03132e-008,1.1503e-007,5.64871e-008,1.40313e-008,2.23179e-007,6.59903e-008,9.21714e-008,7.87591e-008,
512,8.13532e-009,1.17519e-008,1.41847e-008,1.40618e-008,1.40469e-008,1.05055e-008,1.11289e-008,1.1223e-008,1.06429e-008,1.11217e-008,1.1197e-008,1.103e-008,1.11216e-008,1.01115e-008,1.04448e-008,1.44459e-008,1.20026e-008,1.31726e-008,9.83659e-009,3.07653e-008,1.10431e-008,1.09169e-008,1.88146e-007,5.71698e-008,1.41998e-008,3.95179e-007,6.70599e-008,9.95025e-008,8.63909e-008,
1024,7.99299e-009,4.01722e-008,1.4682e-008,1.41422e-008,1.40565e-008,1.03496e-008,1.06968e-008,1.12537e-008,1.15e-008,1.06662e-008,1.08113e-008,1.05628e-008,1.10796e-008,1.03297e-008,1.04761e-008,1.44267e-008,1.20852e-008,1.30481e-008,1.03184e-008,4.18402e-008,1.09645e-008,1.21362e-008,3.33216e-007,5.56391e-008,1.34905e-008,7.46304e-007,6.64371e-008,9.70622e-008,8.54348e-008,
