Random-2 string increasing length,Fingerprint_2<sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},
2,1.43929e-008,1.614e-008,1.5627e-008,
4,1.54317e-008,1.57843e-008,1.59659e-008,
8,1.86751e-008,2.0366e-008,2.21154e-008,
16,2.03885e-008,2.16238e-008,2.29411e-008,
32,2.07432e-008,2.1851e-008,2.38204e-008,
64,2.1686e-008,2.16117e-008,2.36396e-008,
128,2.20288e-008,2.2035e-008,2.4266e-008,
256,2.12675e-008,2.20878e-008,2.43537e-008,
512,2.11818e-008,2.15719e-008,2.46481e-008,
1024,2.23687e-008,2.17973e-008,2.42363e-008,
2048,2.12333e-008,2.14618e-008,2.45841e-008,
4096,2.23834e-008,2.28113e-008,2.4709e-008,
8192,2.28498e-008,2.39938e-008,2.5903e-008,
16384,2.43565e-008,2.49067e-008,2.75305e-008,
32768,2.55333e-008,2.51753e-008,2.8627e-008,
65536,2.49222e-008,2.39257e-008,2.71826e-008,
131072,2.60991e-008,2.46917e-008,2.8692e-008,
262144,2.58429e-008,2.79426e-008,2.87731e-008,
524288,2.64068e-008,5.03705e-008,3.06237e-008,
1048576,2.45192e-008,5.30507e-008,3.17019e-008,
2097152,2.46068e-008,7.29919e-008,3.15106e-008,
4194304,2.49625e-008,7.41038e-008,3.32294e-008,
8388608,2.5654e-008,8.22636e-008,3.49544e-008,
