Random-255 string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2,1.30042e-008,1.20718e-008,1.44421e-008,1.45683e-008,1.43585e-008,1.39178e-008,1.43752e-008,1.23979e-008,1.1663e-008,1.15508e-008,1.14161e-008,1.22366e-008,1.23102e-008,1.25855e-008,1.25538e-008,1.45697e-008,1.27703e-008,1.27983e-008,1.27389e-008,1.4044e-008,1.31375e-008,1.22083e-008,1.56385e-008,2.03965e-008,1.60692e-008,1.75466e-008,2.37482e-008,2.04171e-008,1.99187e-008,
4,9.45351e-009,1.27828e-008,1.43769e-008,1.38941e-008,1.44245e-008,1.40556e-008,1.37105e-008,1.07838e-008,1.07035e-008,1.12217e-008,1.09969e-008,1.07374e-008,1.06956e-008,1.15304e-008,1.15696e-008,1.4111e-008,1.14964e-008,1.20898e-008,1.11933e-008,1.55326e-008,1.1378e-008,1.04267e-008,2.17866e-008,3.1739e-008,1.27698e-008,2.72879e-008,3.66695e-008,3.38231e-008,3.4119e-008,
8,7.93229e-009,1.19754e-008,1.42276e-008,1.36865e-008,1.36489e-008,1.32961e-008,1.36429e-008,1.05906e-008,1.03078e-008,1.00353e-008,1.00365e-008,1.00885e-008,1.01363e-008,1.06321e-008,1.0495e-008,1.37216e-008,1.19431e-008,1.203e-008,9.6205e-009,1.70802e-008,1.01437e-008,9.86864e-009,2.7788e-008,4.1311e-008,1.00432e-008,3.44926e-008,4.70056e-008,4.8986e-008,4.36859e-008,
16,7.43928e-009,1.09362e-008,1.30378e-008,1.3041e-008,1.27923e-008,1.27737e-008,1.30107e-008,9.50177e-009,9.18755e-009,9.14523e-009,9.25991e-009,9.06288e-009,9.30705e-009,9.83784e-009,9.35056e-009,1.28232e-008,1.06968e-008,1.06896e-008,8.80245e-009,1.8101e-008,1.08457e-008,9.35189e-009,3.08513e-008,4.37208e-008,8.68819e-009,4.2474e-008,5.16083e-008,6.24456e-008,4.83899e-008,
32,7.06053e-009,1.08913e-008,1.24925e-008,1.25253e-008,1.2934e-008,1.25679e-008,1.27316e-008,9.28882e-009,8.75132e-009,8.89198e-009,8.86188e-009,9.00142e-009,8.83471e-009,9.31019e-009,9.53208e-009,1.27157e-008,1.02978e-008,1.04524e-008,8.21606e-009,2.03117e-008,9.28966e-009,8.53852e-009,3.57244e-008,4.81667e-008,7.98342e-009,5.63255e-008,5.71069e-008,7.25302e-008,6.56144e-008,
64,6.78522e-009,1.04986e-008,1.23851e-008,1.3042e-008,1.45122e-008,1.26389e-008,1.25875e-008,9.15074e-009,8.73868e-009,8.61478e-009,8.94325e-009,9.00617e-009,8.7025e-009,9.33485e-009,8.74238e-009,1.24086e-008,1.01995e-008,1.00073e-008,8.22479e-009,2.17861e-008,9.08474e-009,8.22493e-009,4.40373e-008,4.77666e-008,7.79072e-009,7.73199e-008,5.72237e-008,7.56097e-008,6.76081e-008,
128,6.50097e-009,1.08978e-008,1.24573e-008,1.23944e-008,1.24665e-008,1.24368e-008,1.26177e-008,9.16359e-009,8.66297e-009,8.90358e-009,8.81474e-009,8.88367e-009,8.89506e-009,9.04144e-009,8.90532e-009,1.24111e-008,1.02511e-008,1.00821e-008,8.07435e-009,2.40248e-008,8.88444e-009,8.37872e-009,6.29779e-008,4.93497e-008,7.87698e-009,1.26357e-007,6.13994e-008,8.55791e-008,7.0896e-008,
256,6.79165e-009,1.20484e-008,1.28509e-008,1.29996e-008,1.30068e-008,1.29287e-008,1.28722e-008,9.39679e-009,8.81215e-009,8.77144e-009,8.57749e-009,8.55374e-009,8.70264e-009,9.11331e-009,8.7171e-009,1.2533e-008,1.00792e-008,1.02347e-008,8.4061e-009,2.66519e-008,8.94213e-009,8.37984e-009,9.89386e-008,5.19778e-008,7.57526e-009,2.10834e-007,6.40605e-008,8.76987e-008,7.26384e-008,
512,6.62612e-009,1.20623e-008,1.24813e-008,1.23206e-008,1.23338e-008,1.23104e-008,1.24883e-008,9.41258e-009,8.79679e-009,8.41895e-009,8.7222e-009,8.36049e-009,8.67694e-009,9.02363e-009,9.02056e-009,1.23645e-008,9.92165e-009,1.06655e-008,8.27752e-009,2.8025e-008,9.26291e-009,8.27445e-009,1.70076e-007,5.26907e-008,7.71585e-009,3.88428e-007,6.20404e-008,9.47979e-008,8.16124e-008,
1024,6.71629e-009,3.55254e-008,1.2942e-008,1.22659e-008,1.23616e-008,1.23176e-008,1.24887e-008,9.20096e-009,8.57693e-009,8.45862e-009,8.54669e-009,8.53565e-009,8.8734e-009,9.10835e-009,8.93815e-009,1.23664e-008,1.02169e-008,1.02555e-008,8.0953e-009,3.87311e-008,8.88067e-009,9.28051e-009,3.14263e-007,6.00725e-008,7.88934e-009,7.3883e-007,6.48593e-008,9.3811e-008,8.37111e-008,
