Repeat-pow string increasing length,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2,1.07771e-008,1.18308e-008,1.41121e-008,1.40116e-008,1.39008e-008,1.36567e-008,1.44877e-008,1.45271e-008,1.453e-008,1.35297e-008,1.31941e-008,1.3638e-008,1.3384e-008,1.68607e-008,1.59952e-008,1.5115e-008,1.89627e-008,1.87019e-008,1.36997e-008,1.35699e-008,1.46125e-008,1.51236e-008,1.48001e-008,1.98034e-008,2.04039e-008,1.67703e-008,2.28896e-008,1.92812e-008,1.92209e-008,
4,1.59198e-008,1.28199e-008,1.9577e-008,1.92727e-008,1.92138e-008,1.85432e-008,2.02094e-008,2.00083e-008,1.99628e-008,1.92262e-008,1.94274e-008,1.9162e-008,1.90968e-008,2.5032e-008,2.7753e-008,2.37323e-008,2.82706e-008,2.95547e-008,2.26866e-008,2.23568e-008,2.10703e-008,2.27625e-008,2.09167e-008,3.05421e-008,3.12254e-008,2.80493e-008,3.7075e-008,3.51195e-008,3.59988e-008,
8,1.90211e-008,1.24123e-008,2.39065e-008,2.27518e-008,2.23668e-008,2.09775e-008,2.3746e-008,2.38414e-008,2.24639e-008,2.16746e-008,2.215e-008,2.21886e-008,2.21845e-008,2.23537e-008,2.4689e-008,2.22926e-008,2.55584e-008,2.48988e-008,2.19749e-008,2.3933e-008,2.25036e-008,2.37196e-008,3.13499e-008,4.58711e-008,2.4943e-008,3.69425e-008,5.37012e-008,5.15996e-008,4.82158e-008,
16,2.18475e-008,1.14871e-008,2.46501e-008,2.41024e-008,2.38979e-008,2.31904e-008,2.72555e-008,2.62148e-008,2.5116e-008,2.42777e-008,2.42706e-008,2.46267e-008,2.51332e-008,2.51656e-008,2.92382e-008,2.48637e-008,2.92414e-008,2.85541e-008,2.54571e-008,2.89806e-008,2.68952e-008,2.89236e-008,3.80788e-008,5.28669e-008,3.12056e-008,4.86705e-008,6.1152e-008,6.61347e-008,5.38138e-008,
32,1.78569e-008,1.09017e-008,2.18576e-008,2.22919e-008,2.2406e-008,2.0421e-008,2.50739e-008,2.27311e-008,2.27609e-008,2.13152e-008,2.12023e-008,2.15406e-008,2.18172e-008,2.1209e-008,2.37367e-008,2.25582e-008,2.56714e-008,2.59712e-008,2.28029e-008,2.80804e-008,2.40124e-008,2.65454e-008,4.34768e-008,5.68938e-008,2.40021e-008,6.38635e-008,6.49393e-008,7.60887e-008,7.04408e-008,
64,1.81253e-008,1.12127e-008,2.06185e-008,2.04736e-008,2.20919e-008,2.00583e-008,2.33986e-008,2.1185e-008,2.07542e-008,2.06928e-008,2.05914e-008,2.18072e-008,2.24481e-008,1.99221e-008,2.15801e-008,2.19869e-008,2.50226e-008,2.30554e-008,2.07214e-008,2.96763e-008,2.37142e-008,2.53156e-008,5.62065e-008,5.74909e-008,2.06845e-008,8.66577e-008,6.66217e-008,7.93575e-008,7.13478e-008,
128,1.66279e-008,1.14174e-008,1.7924e-008,1.8249e-008,2.02441e-008,1.60225e-008,2.01809e-008,1.802e-008,1.66836e-008,1.69008e-008,1.82378e-008,1.89911e-008,2.01581e-008,1.57586e-008,1.67492e-008,1.95795e-008,2.38233e-008,1.97084e-008,1.75128e-008,3.30006e-008,1.95108e-008,2.08595e-008,7.2708e-008,5.73865e-008,1.62456e-008,1.2989e-007,6.70169e-008,8.55355e-008,7.17333e-008,
256,1.98915e-008,1.17445e-008,1.67162e-008,1.80348e-008,2.00581e-008,1.66013e-008,1.90627e-008,1.67887e-008,1.68108e-008,1.66544e-008,1.84769e-008,2.07651e-008,2.3962e-008,1.60421e-008,1.70442e-008,1.99036e-008,2.31418e-008,1.93128e-008,1.70926e-008,3.53846e-008,1.94171e-008,2.14716e-008,1.08392e-007,5.77073e-008,1.54168e-008,2.16829e-007,6.70184e-008,8.60447e-008,7.18654e-008,
512,2.32002e-008,1.20015e-008,1.61203e-008,1.72775e-008,1.98181e-008,1.45657e-008,1.85625e-008,1.61565e-008,1.48059e-008,1.50253e-008,1.63678e-008,1.8798e-008,2.3167e-008,1.35739e-008,1.4258e-008,1.81733e-008,2.07311e-008,1.71255e-008,1.50676e-008,3.50907e-008,1.71646e-008,1.80051e-008,1.78222e-007,5.65033e-008,1.28286e-008,3.90283e-007,6.59492e-008,9.02962e-008,7.78757e-008,
1024,2.92396e-008,3.60171e-008,1.54417e-008,1.62912e-008,2.27754e-008,1.43592e-008,1.80897e-008,1.4953e-008,1.38996e-008,1.43492e-008,1.60644e-008,1.88489e-008,2.41737e-008,1.26948e-008,1.33898e-008,1.6963e-008,2.00898e-008,1.6099e-008,1.40093e-008,4.42644e-008,1.65708e-008,1.89363e-008,3.17562e-007,5.68782e-008,1.19491e-008,7.5119e-007,7.01172e-008,9.2279e-008,8.08446e-008,
