Repeat-sqrt string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2,1.14287e-008,1.28503e-008,1.5e-008,1.70941e-008,1.52994e-008,1.5198e-008,1.54103e-008,1.43281e-008,1.57179e-008,1.56974e-008,2.02103e-008,1.34933e-008,1.36116e-008,1.83202e-008,1.662e-008,1.64964e-008,2.06728e-008,2.0225e-008,1.39284e-008,1.44896e-008,1.55004e-008,1.56704e-008,1.53117e-008,2.05794e-008,2.18203e-008,1.76807e-008,2.35464e-008,2.03431e-008,1.982e-008,
4,1.61157e-008,1.30406e-008,1.96457e-008,1.96741e-008,1.96169e-008,1.96259e-008,1.89299e-008,1.61373e-008,1.8409e-008,1.84045e-008,1.78302e-008,1.80469e-008,1.80733e-008,1.9085e-008,1.9448e-008,1.81274e-008,2.09713e-008,2.07178e-008,1.67007e-008,1.87388e-008,1.82872e-008,1.83324e-008,2.25315e-008,3.40412e-008,2.1716e-008,3.01167e-008,3.98861e-008,3.73426e-008,3.64377e-008,
8,2.12607e-008,1.46216e-008,2.75451e-008,2.66884e-008,2.45549e-008,2.18816e-008,2.39871e-008,2.02616e-008,2.54919e-008,2.56723e-008,2.47855e-008,2.31537e-008,2.31021e-008,3.8324e-008,2.57684e-008,2.28215e-008,2.89343e-008,3.02149e-008,2.43078e-008,2.59062e-008,2.41515e-008,2.56847e-008,3.14312e-008,4.76971e-008,2.63943e-008,3.86408e-008,5.46021e-008,5.32934e-008,4.98778e-008,
16,1.48547e-008,1.15277e-008,2.02378e-008,1.98969e-008,1.95489e-008,1.97313e-008,1.92512e-008,1.51484e-008,1.72525e-008,1.67965e-008,1.64195e-008,1.62093e-008,1.65265e-008,1.72353e-008,1.74251e-008,1.74973e-008,1.92389e-008,1.94653e-008,1.7348e-008,2.2178e-008,1.79046e-008,1.81286e-008,3.49209e-008,5.32633e-008,1.75767e-008,4.76526e-008,5.95259e-008,6.49161e-008,5.62227e-008,
32,1.36977e-008,1.05951e-008,1.85772e-008,2.01789e-008,2.11678e-008,1.85927e-008,1.95276e-008,1.58066e-008,1.86012e-008,1.73174e-008,1.72267e-008,1.57029e-008,1.60322e-008,1.7141e-008,1.82587e-008,1.7944e-008,1.95507e-008,1.97112e-008,1.65814e-008,2.48144e-008,1.71519e-008,1.86903e-008,4.48354e-008,5.67214e-008,1.57961e-008,6.46496e-008,6.55078e-008,7.93398e-008,7.34968e-008,
64,1.40752e-008,1.05045e-008,1.76089e-008,1.87789e-008,2.01978e-008,1.69769e-008,1.7832e-008,1.43726e-008,1.5938e-008,1.52153e-008,1.51137e-008,1.48605e-008,1.45213e-008,1.45564e-008,1.57832e-008,1.74037e-008,1.85378e-008,1.74862e-008,1.54406e-008,2.63999e-008,1.56083e-008,1.6153e-008,5.44405e-008,5.7466e-008,1.42474e-008,8.70944e-008,6.59038e-008,8.15677e-008,7.49455e-008,
128,1.30316e-008,1.13514e-008,1.5898e-008,1.68474e-008,2.11294e-008,1.66919e-008,1.77083e-008,1.33613e-008,1.64469e-008,1.44868e-008,1.4195e-008,1.42551e-008,1.38293e-008,1.37906e-008,1.43359e-008,1.64749e-008,1.66069e-008,1.53793e-008,1.38648e-008,2.78964e-008,1.45632e-008,1.54944e-008,7.40379e-008,5.82714e-008,1.27986e-008,1.31849e-007,6.89586e-008,8.76241e-008,7.54923e-008,
256,1.31024e-008,1.14304e-008,1.49939e-008,1.62335e-008,2.06942e-008,1.5615e-008,1.55696e-008,1.18628e-008,1.35104e-008,1.24225e-008,1.23858e-008,1.21821e-008,1.26985e-008,1.24243e-008,1.25505e-008,1.57026e-008,1.552e-008,1.39981e-008,1.24712e-008,3.06307e-008,1.33418e-008,1.38751e-008,1.1108e-007,5.82101e-008,1.11153e-008,2.19861e-007,6.85224e-008,8.94797e-008,7.51987e-008,
512,1.48765e-008,1.24352e-008,1.4799e-008,1.53312e-008,1.89686e-008,1.5402e-008,1.66729e-008,1.19332e-008,1.3895e-008,1.23294e-008,1.18587e-008,1.19283e-008,1.24716e-008,1.20332e-008,1.14292e-008,1.56903e-008,1.55319e-008,1.38264e-008,1.13931e-008,3.21646e-008,1.25871e-008,1.29912e-008,1.84058e-007,5.97538e-008,1.00354e-008,4.05019e-007,6.7529e-008,9.34268e-008,8.25458e-008,
1024,1.62903e-008,3.40518e-008,1.35882e-008,1.40614e-008,1.68039e-008,1.40748e-008,1.48712e-008,1.09611e-008,1.26043e-008,1.16835e-008,1.12675e-008,1.13639e-008,1.18837e-008,1.14482e-008,1.14411e-008,1.46922e-008,1.48931e-008,1.29192e-008,1.0165e-008,4.04603e-008,1.24716e-008,1.34007e-008,3.19244e-007,5.97836e-008,8.98138e-009,7.43e-007,6.81786e-008,9.25051e-008,8.30365e-008,
2048,1.94792e-008,6.17625e-008,1.35026e-008,1.36545e-008,1.55276e-008,1.42113e-008,1.6238e-008,1.05462e-008,1.30007e-008,1.14635e-008,1.09144e-008,1.09143e-008,1.15988e-008,1.11581e-008,1.09263e-008,1.43221e-008,1.42096e-008,1.257e-008,1.04674e-008,5.56899e-008,1.20738e-008,1.39589e-008,5.99466e-007,6.53552e-008,9.0221e-009,1.44628e-006,7.04048e-008,9.1203e-008,8.53259e-008,
4096,2.52623e-008,6.71203e-008,1.38254e-008,1.41773e-008,1.48918e-008,1.37515e-008,1.53276e-008,1.09443e-008,1.26066e-008,1.15088e-008,1.14186e-008,1.08616e-008,1.14315e-008,1.09159e-008,1.06964e-008,1.51769e-008,1.37957e-008,1.22835e-008,1.00277e-008,6.46945e-008,1.11436e-008,1.29509e-008,1.15772e-006,6.90447e-008,8.62498e-009,2.83966e-006,7.63554e-008,9.65476e-008,8.87978e-008,
8192,3.11429e-008,7.22237e-008,1.44682e-008,1.37964e-008,1.41873e-008,1.44368e-008,1.53403e-008,1.20348e-008,1.26654e-008,1.08309e-008,1.05695e-008,1.06703e-008,1.12612e-008,1.07236e-008,1.05609e-008,1.70078e-008,1.36845e-008,1.20448e-008,9.83212e-009,7.90041e-008,1.10223e-008,1.24578e-008,2.30429e-006,7.96016e-008,8.379e-009,5.63893e-006,8.08116e-008,1.05859e-007,9.44868e-008,
