Repeat-25 string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<20>wc,Fingerprint_2<100>wc,Fingerprint_2<1/2sqrt n>wc,Fingerprint_2<2sqrt n>wc,Fingerprint_2<ln n>wc,Fingerprint_2<sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},RMQ<n;(2)log n>_{virtual},RMQ<n;(4)log n>_{virtual},
2,1.066e-008,1.14714e-008,1.42576e-008,1.41868e-008,1.42957e-008,1.42624e-008,1.39232e-008,1.25132e-008,1.24035e-008,1.23623e-008,1.24416e-008,1.24482e-008,1.24151e-008,1.19497e-008,1.43749e-008,1.48739e-008,1.43818e-008,1.2783e-008,1.26536e-008,1.25479e-008,1.38608e-008,1.27879e-008,1.42931e-008,1.46334e-008,2.03008e-008,1.60559e-008,1.75554e-008,2.35154e-008,2.04785e-008,2.05068e-008,2.04402e-008,1.97519e-008,
4,9.50959e-009,1.24943e-008,1.37717e-008,1.37969e-008,1.44799e-008,1.44134e-008,1.44875e-008,1.15906e-008,1.16246e-008,1.14823e-008,1.15968e-008,1.16078e-008,1.11036e-008,1.10617e-008,1.46885e-008,1.58425e-008,1.44018e-008,1.2198e-008,1.22275e-008,1.10376e-008,1.49658e-008,1.08123e-008,1.30136e-008,2.09744e-008,3.02313e-008,1.28409e-008,2.70194e-008,3.67061e-008,3.51459e-008,3.43428e-008,3.54405e-008,3.55606e-008,
8,8.0168e-009,1.21121e-008,1.36345e-008,1.37077e-008,1.37127e-008,1.38504e-008,1.36515e-008,1.03283e-008,1.04815e-008,1.05462e-008,9.9e-009,1.04168e-008,1.02134e-008,9.441e-009,1.30928e-008,1.498e-008,1.3497e-008,1.1743e-008,1.13448e-008,9.58795e-009,1.68345e-008,9.99352e-009,1.23458e-008,2.69242e-008,4.08548e-008,1.00673e-008,3.34893e-008,4.87933e-008,5.04797e-008,4.46446e-008,5.04263e-008,4.55026e-008,
16,7.32349e-009,1.15911e-008,1.31888e-008,1.32249e-008,1.33079e-008,1.32485e-008,1.31978e-008,9.67071e-009,9.89448e-009,9.70808e-009,9.86208e-009,9.85649e-009,9.73587e-009,9.30321e-009,1.33832e-008,1.53652e-008,1.2945e-008,1.08915e-008,1.09839e-008,8.88416e-009,1.86921e-008,9.50638e-009,1.16041e-008,3.05996e-008,4.39593e-008,8.91761e-009,4.18929e-008,5.0859e-008,5.86355e-008,4.78998e-008,5.86169e-008,4.60925e-008,
32,7.0942e-009,1.08051e-008,1.26616e-008,1.27028e-008,1.31793e-008,1.27402e-008,1.37294e-008,9.88526e-009,9.92724e-009,9.8245e-009,9.98598e-009,9.82513e-009,9.93555e-009,9.4952e-009,1.35206e-008,1.57835e-008,1.30041e-008,1.1177e-008,1.11875e-008,8.95728e-009,2.09952e-008,9.70165e-009,1.1822e-008,3.67394e-008,4.74285e-008,8.68092e-009,5.71607e-008,5.48338e-008,7.27027e-008,6.57801e-008,7.14015e-008,6.4679e-008,
64,7.94354e-009,1.14246e-008,1.40623e-008,1.33498e-008,1.36026e-008,1.33502e-008,1.37714e-008,1.03743e-008,1.03468e-008,1.02788e-008,1.0508e-008,1.02947e-008,1.03788e-008,1.01382e-008,1.3484e-008,1.64108e-008,1.35392e-008,1.20467e-008,1.19158e-008,9.90021e-009,2.34405e-008,1.0578e-008,1.26352e-008,5.09483e-008,5.30153e-008,8.83583e-009,8.30279e-008,6.0643e-008,7.59681e-008,7.24848e-008,6.93967e-008,6.80193e-008,
128,8.74392e-009,1.12642e-008,1.32292e-008,1.41457e-008,1.51355e-008,1.43726e-008,1.39163e-008,1.03732e-008,1.06996e-008,1.06752e-008,1.06771e-008,1.06338e-008,1.10652e-008,1.05545e-008,1.43672e-008,1.61085e-008,1.40285e-008,1.28796e-008,1.24991e-008,1.03061e-008,2.60298e-008,1.12784e-008,1.34633e-008,7.25984e-008,6.1473e-008,9.16178e-009,1.28296e-007,6.6369e-008,8.75824e-008,7.36568e-008,8.48661e-008,7.5182e-008,
256,9.80544e-009,1.17495e-008,1.34661e-008,1.40964e-008,1.6999e-008,1.40068e-008,1.46436e-008,1.10566e-008,1.1265e-008,1.1599e-008,1.15397e-008,1.10619e-008,1.15802e-008,1.07175e-008,1.47719e-008,1.77002e-008,1.46058e-008,1.38524e-008,1.30071e-008,1.08402e-008,2.9605e-008,1.18523e-008,1.41528e-008,1.1191e-007,6.1489e-008,9.61819e-009,2.21883e-007,6.8823e-008,9.0065e-008,7.31384e-008,8.49236e-008,7.03793e-008,
512,1.33133e-008,1.24256e-008,1.37749e-008,1.40994e-008,1.6853e-008,1.45115e-008,1.58047e-008,1.1502e-008,1.16787e-008,1.19675e-008,1.15462e-008,1.14074e-008,1.30234e-008,1.1418e-008,1.51321e-008,1.70399e-008,1.43316e-008,1.40615e-008,1.27515e-008,1.11472e-008,3.18406e-008,1.24949e-008,1.47297e-008,1.85371e-007,6.02639e-008,9.78253e-009,3.94831e-007,6.88743e-008,9.08229e-008,7.96563e-008,8.56235e-008,7.3991e-008,
1024,1.88121e-008,3.53223e-008,1.42311e-008,1.41114e-008,1.70483e-008,1.41488e-008,1.51503e-008,1.14849e-008,1.17845e-008,1.19072e-008,1.23439e-008,1.16386e-008,1.49555e-008,1.11634e-008,1.53683e-008,1.80005e-008,1.51558e-008,1.58396e-008,1.37318e-008,1.14817e-008,4.33149e-008,1.34488e-008,1.61416e-008,3.24689e-007,5.87909e-008,9.52817e-009,7.46505e-007,6.80781e-008,9.02626e-008,7.77716e-008,8.60171e-008,7.67855e-008,
