Repeat ´12345´ string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<20>wc,Fingerprint_2<100>wc,Fingerprint_2<1/2sqrt n>wc,Fingerprint_2<2sqrt n>wc,Fingerprint_2<ln n>wc,Fingerprint_2<sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},RMQ<n;(2)log n>_{virtual},RMQ<n;(4)log n>_{virtual},
2,1.10005e-008,1.33705e-008,1.35942e-008,1.4271e-008,1.42422e-008,1.42327e-008,1.42469e-008,1.22187e-008,1.18868e-008,1.17502e-008,1.1813e-008,1.18611e-008,1.17708e-008,1.157e-008,1.38193e-008,1.48772e-008,1.44092e-008,1.26346e-008,1.25851e-008,1.25568e-008,1.39427e-008,1.28766e-008,1.27443e-008,1.49621e-008,2.0359e-008,1.60118e-008,1.77166e-008,2.3734e-008,2.03205e-008,2.04533e-008,2.05088e-008,2.03268e-008,
4,9.60353e-009,1.45894e-008,1.45102e-008,1.44787e-008,1.4449e-008,1.43784e-008,1.45243e-008,1.15573e-008,1.19982e-008,1.14792e-008,1.16155e-008,1.15361e-008,1.19843e-008,1.07014e-008,1.44127e-008,1.61074e-008,1.43796e-008,1.22048e-008,1.21909e-008,1.1014e-008,1.56247e-008,1.13819e-008,1.12468e-008,2.18105e-008,3.02972e-008,1.28827e-008,2.6851e-008,3.57045e-008,3.26632e-008,3.27415e-008,3.36866e-008,3.40839e-008,
8,1.03601e-008,1.39597e-008,1.56811e-008,1.50103e-008,1.5688e-008,1.54984e-008,1.58262e-008,1.23155e-008,1.25272e-008,1.21796e-008,1.21511e-008,1.20282e-008,1.22782e-008,1.27634e-008,1.49318e-008,1.80927e-008,1.51718e-008,1.46572e-008,1.42443e-008,1.19188e-008,1.88687e-008,1.26942e-008,1.28344e-008,2.88177e-008,4.43797e-008,1.42223e-008,3.43836e-008,5.02132e-008,4.91223e-008,4.59043e-008,5.0902e-008,5.28681e-008,
16,1.17047e-008,1.28608e-008,1.82598e-008,1.78397e-008,1.7853e-008,1.68206e-008,1.78917e-008,1.331e-008,1.36502e-008,1.41165e-008,1.41197e-008,1.43153e-008,1.41622e-008,1.4513e-008,1.756e-008,2.06162e-008,1.68151e-008,1.66964e-008,1.66287e-008,1.43242e-008,2.25025e-008,1.51674e-008,1.61743e-008,3.86011e-008,5.41079e-008,1.49297e-008,4.75645e-008,6.10067e-008,6.76066e-008,5.58361e-008,6.71259e-008,5.77567e-008,
32,1.32175e-008,1.35897e-008,1.9245e-008,2.03771e-008,2.03533e-008,1.74577e-008,1.92668e-008,1.56931e-008,1.57617e-008,1.49188e-008,1.66512e-008,1.53202e-008,1.60671e-008,1.60286e-008,1.78923e-008,2.16757e-008,1.80353e-008,1.97045e-008,1.93453e-008,1.69721e-008,2.55996e-008,1.80508e-008,1.86665e-008,4.59855e-008,5.93538e-008,1.57504e-008,6.28773e-008,6.68577e-008,7.84619e-008,7.22678e-008,7.70736e-008,7.1999e-008,
64,1.61937e-008,1.25734e-008,1.96228e-008,2.2361e-008,2.49083e-008,1.86121e-008,2.03244e-008,1.72378e-008,1.62545e-008,1.75813e-008,1.7905e-008,1.68749e-008,1.68938e-008,1.78891e-008,1.9578e-008,2.31809e-008,2.02952e-008,2.32627e-008,2.17004e-008,1.91221e-008,2.91992e-008,1.96493e-008,2.21714e-008,5.61322e-008,5.7855e-008,1.78095e-008,8.76254e-008,6.54482e-008,8.24004e-008,7.26143e-008,7.79918e-008,7.1378e-008,
128,1.97283e-008,1.36814e-008,1.99321e-008,2.30218e-008,3.27644e-008,2.02558e-008,2.30591e-008,1.83649e-008,1.83029e-008,2.07489e-008,1.84855e-008,1.86411e-008,2.04262e-008,1.9629e-008,2.11778e-008,2.62709e-008,2.20853e-008,2.57325e-008,2.26642e-008,1.9475e-008,3.20702e-008,2.28741e-008,2.47802e-008,7.13058e-008,5.93865e-008,1.80483e-008,1.33253e-007,6.88809e-008,8.78114e-008,7.54014e-008,8.13788e-008,7.13113e-008,
256,2.61917e-008,1.52426e-008,2.0779e-008,2.29974e-008,3.64961e-008,2.03992e-008,2.33458e-008,2.0123e-008,1.92196e-008,2.14587e-008,2.2059e-008,1.95846e-008,2.33185e-008,2.12584e-008,2.33166e-008,2.67103e-008,2.3745e-008,2.97518e-008,2.39442e-008,2.25338e-008,3.83017e-008,2.33593e-008,2.53549e-008,1.11967e-007,5.90348e-008,1.90763e-008,2.24717e-007,6.90185e-008,8.80244e-008,7.57887e-008,7.95037e-008,7.29514e-008,
512,3.97646e-008,1.53709e-008,2.09874e-008,2.27377e-008,3.68816e-008,2.21409e-008,2.84806e-008,2.1907e-008,2.1743e-008,2.35093e-008,2.27567e-008,2.05952e-008,2.7387e-008,2.31919e-008,2.3952e-008,2.72479e-008,2.39552e-008,3.1985e-008,2.59163e-008,2.25057e-008,4.31304e-008,2.56385e-008,2.80214e-008,1.83361e-007,5.96437e-008,1.96332e-008,3.97685e-007,6.61628e-008,8.79761e-008,8.22756e-008,8.60227e-008,7.66629e-008,
1024,7.05447e-008,3.84776e-008,1.98044e-008,2.23702e-008,4.06985e-008,2.34824e-008,2.93739e-008,2.35808e-008,2.59279e-008,2.55532e-008,2.73725e-008,2.38829e-008,4.17533e-008,2.4921e-008,2.58119e-008,2.99158e-008,2.63985e-008,3.88705e-008,2.73613e-008,2.45121e-008,5.53077e-008,3.14682e-008,3.71808e-008,3.19876e-007,5.93053e-008,1.83831e-008,7.43394e-007,6.62753e-008,8.8562e-008,7.91239e-008,8.68791e-008,8.03478e-008,
