Repeat-50 string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2,1.07585e-008,1.16146e-008,1.43939e-008,1.44522e-008,1.37897e-008,1.38297e-008,1.38069e-008,1.23701e-008,1.14881e-008,1.16075e-008,1.1581e-008,1.16413e-008,1.15276e-008,1.18603e-008,1.21963e-008,1.38691e-008,1.20554e-008,1.25922e-008,1.20643e-008,1.34938e-008,1.27102e-008,1.27358e-008,1.60221e-008,2.07501e-008,1.62246e-008,1.79541e-008,2.3875e-008,2.11417e-008,2.04562e-008,
4,9.58683e-009,1.23814e-008,1.40883e-008,1.38322e-008,1.39062e-008,1.39003e-008,1.39617e-008,1.1167e-008,1.09337e-008,1.10266e-008,1.0884e-008,1.08293e-008,1.08137e-008,1.12195e-008,1.09601e-008,1.35915e-008,1.16437e-008,1.18307e-008,1.08871e-008,1.48353e-008,1.11319e-008,1.06098e-008,2.13643e-008,3.05218e-008,1.23309e-008,2.64899e-008,3.50382e-008,3.41821e-008,3.30648e-008,
8,7.60523e-009,1.16766e-008,1.31582e-008,1.29668e-008,1.35295e-008,1.30728e-008,1.37565e-008,1.05646e-008,1.01378e-008,1.01563e-008,1.00645e-008,1.01376e-008,1.00889e-008,1.04433e-008,1.01176e-008,1.29053e-008,1.07861e-008,1.08616e-008,9.15864e-009,1.66189e-008,9.64222e-009,9.63963e-009,2.69047e-008,4.2023e-008,9.51762e-009,3.44097e-008,4.88709e-008,5.1514e-008,4.57324e-008,
16,7.20944e-009,1.1243e-008,1.32145e-008,1.32599e-008,1.32671e-008,1.31112e-008,1.33525e-008,9.94554e-009,9.16366e-009,9.01309e-009,9.02692e-009,9.31704e-009,9.44038e-009,9.8706e-009,9.35894e-009,1.26625e-008,1.06896e-008,1.04133e-008,8.87857e-009,1.82662e-008,9.21639e-009,8.71787e-009,3.03247e-008,4.25791e-008,8.48201e-009,4.14381e-008,5.25409e-008,6.04131e-008,4.82427e-008,
32,7.02331e-009,1.09029e-008,1.31623e-008,1.24526e-008,1.24451e-008,1.25077e-008,1.29633e-008,9.20354e-009,8.83751e-009,9.15284e-009,8.83653e-009,9.0654e-009,8.71207e-009,9.15158e-009,9.18266e-009,1.24711e-008,1.03064e-008,1.02868e-008,8.20949e-009,2.05388e-008,9.174e-009,8.71682e-009,3.47769e-008,4.63445e-008,7.76935e-009,5.54689e-008,5.44377e-008,6.95249e-008,6.25583e-008,
64,6.76217e-009,1.03281e-008,1.2538e-008,1.2573e-008,1.26195e-008,1.29198e-008,1.26806e-008,9.41628e-009,8.7282e-009,9.05464e-009,8.74245e-009,8.82696e-009,8.84351e-009,9.23832e-009,9.40161e-009,1.2332e-008,1.0349e-008,1.03209e-008,8.16871e-009,2.51079e-008,9.3632e-009,8.96832e-009,4.60511e-008,4.91136e-008,7.86036e-009,7.74536e-008,5.45111e-008,7.75915e-008,6.54953e-008,
128,7.46694e-009,1.13088e-008,1.2851e-008,1.31262e-008,1.37672e-008,1.29772e-008,1.29228e-008,9.58222e-009,9.89288e-009,9.31725e-009,9.13936e-009,9.19614e-009,9.31236e-009,9.9945e-009,9.78225e-009,1.41179e-008,1.11052e-008,1.12399e-008,9.15668e-009,2.49999e-008,1.00108e-008,9.47076e-009,6.81847e-008,5.14176e-008,8.06751e-009,1.26893e-007,6.24515e-008,8.82587e-008,7.43685e-008,
256,7.9501e-009,1.13112e-008,1.29007e-008,1.32791e-008,1.45176e-008,1.28587e-008,1.33639e-008,9.83875e-009,9.60932e-009,9.39714e-009,9.30286e-009,9.3074e-009,9.54933e-009,1.01644e-008,1.00719e-008,1.37016e-008,1.14338e-008,1.10803e-008,9.30481e-009,2.82924e-008,1.02937e-008,9.93758e-009,1.07309e-007,6.06416e-008,8.2829e-009,2.1602e-007,6.71905e-008,9.19413e-008,7.74985e-008,
512,9.38611e-009,1.19112e-008,1.29847e-008,1.3362e-008,1.5132e-008,1.33615e-008,1.41222e-008,1.0139e-008,1.02096e-008,9.77973e-009,9.60038e-009,9.59836e-009,9.95203e-009,1.01653e-008,1.02493e-008,1.32428e-008,1.19443e-008,1.14816e-008,9.37542e-009,2.91601e-008,1.06333e-008,1.00411e-008,1.76736e-007,6.09669e-008,8.3996e-009,3.96684e-007,7.0537e-008,9.20421e-008,8.19459e-008,
1024,1.2139e-008,3.38674e-008,1.33889e-008,1.37907e-008,1.54481e-008,1.36336e-008,1.43043e-008,1.01818e-008,1.08552e-008,1.02126e-008,9.90859e-009,1.02286e-008,1.04567e-008,1.04918e-008,1.03919e-008,1.38298e-008,1.24172e-008,1.15527e-008,9.48445e-009,3.9701e-008,1.08481e-008,1.1546e-008,3.15273e-007,6.08871e-008,8.71361e-009,7.34305e-007,7.24336e-008,9.31083e-008,8.42304e-008,
