All ´a´ string increasing length,DirectComp,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>ac_{cache-horizontal-shift},Fingerprint_3<n^{2/3};n^{1/3}>ac_{cache-horizontal-mult},Fingerprint_{log n}ac,RMQ<n;1>,
2,1.13849e-008,1.63083e-008,1.61757e-008,1.72025e-008,1.70147e-008,1.57507e-008,2.0713e-008,
4,1.70425e-008,2.25137e-008,2.60612e-008,2.55312e-008,2.70404e-008,2.24618e-008,3.07301e-008,
8,2.06661e-008,2.90642e-008,3.44839e-008,3.12031e-008,3.7012e-008,3.02721e-008,3.95304e-008,
16,2.47536e-008,3.41574e-008,4.00715e-008,3.76044e-008,4.36463e-008,3.79017e-008,4.19883e-008,
32,2.90641e-008,4.04567e-008,4.62261e-008,4.57194e-008,5.25797e-008,4.76747e-008,4.81587e-008,
64,3.93236e-008,4.59084e-008,5.05383e-008,5.40367e-008,6.14805e-008,5.9761e-008,4.88082e-008,
128,5.63373e-008,4.94829e-008,5.56972e-008,6.15899e-008,6.58229e-008,6.50222e-008,4.74727e-008,
256,8.91754e-008,5.5096e-008,6.10085e-008,7.14682e-008,7.5857e-008,7.49181e-008,4.82778e-008,
512,1.57718e-007,6.07856e-008,6.3626e-008,7.98053e-008,8.84342e-008,8.40793e-008,4.73668e-008,
1024,2.93573e-007,6.71808e-008,7.04391e-008,1.06845e-007,1.08801e-007,1.10618e-007,4.84864e-008,
2048,5.67447e-007,8.28888e-008,8.37814e-008,1.56789e-007,1.33293e-007,1.47223e-007,5.70728e-008,
4096,1.12665e-006,9.68266e-008,9.58467e-008,1.66536e-007,1.73096e-007,1.68623e-007,6.50227e-008,
8192,2.25577e-006,1.31162e-007,1.26502e-007,2.70247e-007,2.4101e-007,1.85983e-007,6.48726e-008,
16384,4.42821e-006,1.58434e-007,1.59502e-007,4.81129e-007,3.43044e-007,2.04588e-007,6.78889e-008,
32768,8.86821e-006,2.08711e-007,2.14731e-007,4.93866e-007,5.02299e-007,2.86023e-007,6.75155e-008,
65536,3.60666e-005,3.7424e-007,3.83536e-007,9.01588e-007,7.68669e-007,8.7049e-007,6.62871e-008,
131072,,5.35033e-007,5.9399e-007,1.72447e-006,1.17267e-006,9.90079e-007,6.79009e-008,
262144,,8.82529e-007,8.82056e-007,1.92469e-006,1.79455e-006,1.11869e-006,6.65492e-008,
524288,,1.21607e-006,1.28317e-006,3.48556e-006,3.01691e-006,1.2654e-006,6.74334e-008,
1048576,,2.06263e-006,2.02137e-006,6.11519e-006,4.93684e-006,1.41153e-006,6.99801e-008,
2097152,,2.60573e-006,3.03462e-006,6.20133e-006,6.26586e-006,1.40432e-006,6.89391e-008,
4194304,,4.37249e-006,4.40058e-006,9.73144e-006,9.02587e-006,1.4766e-006,7.05472e-008,
8388608,,5.30767e-006,6.3209e-006,3.71612e-005,2.15737e-005,1.64532e-006,6.80323e-008,
