Random-2 string increasing length,DirectComp,Fingerprint_2<sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_3<n^{2/3};n^{1/3}>ac_{cache-horizontal-shift},Fingerprint_3<n^{2/3};n^{1/3}>ac_{cache-horizontal-mult},Fingerprint_{log n}ac,RMQ<n;1>,
2,1.1011e-008,1.49226e-008,2.28409e-008,1.56259e-008,1.42572e-008,1.69351e-008,1.69506e-008,1.55017e-008,2.05474e-008,
4,1.6726e-008,2.01423e-008,2.25474e-008,2.56066e-008,2.32665e-008,2.56716e-008,2.74216e-008,2.24769e-008,3.17401e-008,
8,1.62273e-008,1.87424e-008,1.92618e-008,2.1962e-008,1.93994e-008,1.9933e-008,2.09965e-008,1.94643e-008,4.57342e-008,
16,1.88411e-008,2.17526e-008,2.30486e-008,2.51737e-008,2.07333e-008,2.46227e-008,2.38023e-008,2.28335e-008,5.40538e-008,
32,1.78251e-008,2.01705e-008,2.15177e-008,2.39773e-008,1.88178e-008,2.28057e-008,2.2154e-008,2.18684e-008,5.83801e-008,
64,1.90764e-008,2.2188e-008,2.2467e-008,2.48488e-008,2.06357e-008,2.47251e-008,2.46419e-008,2.31312e-008,6.08119e-008,
128,1.93719e-008,2.25758e-008,2.30886e-008,2.54849e-008,2.05919e-008,2.36215e-008,2.36332e-008,2.19745e-008,5.90862e-008,
256,1.86205e-008,2.19324e-008,2.23803e-008,2.44396e-008,2.14661e-008,2.34528e-008,2.3355e-008,2.41897e-008,5.81742e-008,
512,1.86328e-008,2.27147e-008,2.35003e-008,2.47715e-008,2.02584e-008,2.36742e-008,2.37314e-008,2.30093e-008,6.02308e-008,
1024,1.90658e-008,2.34914e-008,2.31458e-008,2.46333e-008,1.9981e-008,2.37187e-008,2.35853e-008,2.24405e-008,5.8922e-008,
2048,1.98906e-008,2.18633e-008,2.26275e-008,2.50294e-008,2.00223e-008,2.4321e-008,2.38626e-008,2.27761e-008,6.57561e-008,
4096,1.87161e-008,2.22884e-008,2.32015e-008,2.58001e-008,2.1541e-008,2.56211e-008,2.48162e-008,2.49078e-008,7.33381e-008,
8192,1.9312e-008,2.29478e-008,2.35948e-008,2.68897e-008,2.09965e-008,2.53779e-008,2.49653e-008,2.7854e-008,7.5291e-008,
16384,1.95148e-008,2.45556e-008,2.57512e-008,2.70591e-008,2.15751e-008,2.54602e-008,2.60447e-008,2.85791e-008,7.91092e-008,
32768,2.02102e-008,2.69554e-008,2.66021e-008,3.0038e-008,2.3935e-008,2.65097e-008,2.72928e-008,2.8596e-008,7.42013e-008,
65536,2.0936e-008,2.69568e-008,2.64221e-008,3.06091e-008,2.49816e-008,2.87646e-008,2.87679e-008,3.00658e-008,8.21055e-008,
131072,2.04812e-008,2.55431e-008,2.4692e-008,3.03296e-008,2.50927e-008,2.82184e-008,2.85251e-008,2.84809e-008,8.44875e-008,
262144,1.99199e-008,2.65967e-008,2.80025e-008,2.96992e-008,2.39959e-008,5.18798e-008,2.84384e-008,2.78033e-008,1.07899e-007,
524288,1.94385e-008,2.50653e-008,4.89104e-008,3.04328e-008,2.36161e-008,7.02728e-008,2.97365e-008,2.87859e-008,1.85231e-007,
1048576,1.9633e-008,2.59043e-008,5.01757e-008,3.21436e-008,2.37294e-008,8.10801e-008,3.46687e-008,2.85848e-008,2.75875e-007,
2097152,1.96157e-008,2.52329e-008,7.1727e-008,3.43567e-008,3.17959e-008,8.68867e-008,5.01704e-008,2.86711e-008,3.19342e-007,
4194304,2.0165e-008,2.96842e-008,7.385e-008,3.65591e-008,4.53923e-008,8.66457e-008,6.75214e-008,3.53388e-008,3.29556e-007,
8388608,1.95959e-008,4.66722e-008,8.12862e-008,3.49479e-008,4.67155e-008,8.45676e-008,7.50449e-008,,3.43472e-007,
