Repeat-pow string increasing length,DirectComp,Fingerprint_2<sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_3<n^{2/3};n^{1/3}>ac_{cache-horizontal-shift},Fingerprint_3<n^{2/3};n^{1/3}>ac_{cache-horizontal-mult},Fingerprint_{log n}ac,RMQ<n;1>,
2,1.15717e-008,1.80356e-008,1.63077e-008,1.55332e-008,1.42244e-008,1.69301e-008,1.69468e-008,1.5471e-008,2.0441e-008,
4,1.69232e-008,2.01261e-008,2.24352e-008,2.5307e-008,2.47254e-008,2.53519e-008,2.72139e-008,2.21469e-008,3.14921e-008,
8,1.90896e-008,2.2244e-008,2.26788e-008,2.4792e-008,2.23214e-008,2.27863e-008,2.45931e-008,2.22162e-008,4.69851e-008,
16,2.16498e-008,2.45299e-008,2.53256e-008,2.97176e-008,2.65454e-008,2.72487e-008,3.02071e-008,2.83579e-008,5.27626e-008,
32,1.91211e-008,2.2816e-008,2.23096e-008,2.49607e-008,2.23892e-008,2.21981e-008,2.47464e-008,2.48946e-008,5.82353e-008,
64,1.78581e-008,1.98913e-008,1.90761e-008,2.18292e-008,2.18989e-008,2.21613e-008,2.42601e-008,2.35861e-008,6.02384e-008,
128,1.72063e-008,1.77923e-008,1.67311e-008,1.80701e-008,1.8167e-008,1.82701e-008,1.97827e-008,1.99134e-008,6.06667e-008,
256,2.10108e-008,1.74577e-008,1.6272e-008,1.7306e-008,1.72839e-008,1.87027e-008,1.95048e-008,1.98321e-008,6.10452e-008,
512,2.23437e-008,1.5574e-008,1.4278e-008,1.49765e-008,1.57104e-008,1.61918e-008,1.72555e-008,1.7436e-008,5.96929e-008,
1024,2.98048e-008,1.42449e-008,1.34754e-008,1.3922e-008,1.40848e-008,1.55042e-008,1.60631e-008,1.69209e-008,5.78927e-008,
2048,3.8112e-008,1.39072e-008,1.22566e-008,1.24293e-008,1.28866e-008,1.63322e-008,1.56264e-008,1.66958e-008,6.26872e-008,
4096,5.30955e-008,1.31969e-008,1.17563e-008,1.23295e-008,1.27335e-008,1.46632e-008,1.53742e-008,1.59886e-008,6.83601e-008,
8192,7.60267e-008,1.38252e-008,1.16446e-008,1.16444e-008,1.20431e-008,1.62191e-008,1.53963e-008,1.54883e-008,7.07695e-008,
16384,1.10442e-007,1.60974e-008,1.1558e-008,1.15649e-008,1.21328e-008,1.86139e-008,1.58776e-008,1.54228e-008,7.23745e-008,
32768,1.59566e-007,1.67561e-008,1.21628e-008,1.21701e-008,1.29318e-008,1.74666e-008,1.75047e-008,1.75066e-008,7.26796e-008,
65536,4.75969e-007,2.20588e-008,1.36287e-008,1.37393e-008,1.3463e-008,2.13136e-008,1.95678e-008,2.45652e-008,7.40487e-008,
131072,8.76463e-007,2.52133e-008,1.44938e-008,1.43904e-008,1.38117e-008,2.66268e-008,2.1458e-008,2.20371e-008,7.6931e-008,
262144,1.4365e-006,2.86539e-008,1.61869e-008,1.52614e-008,1.56569e-008,2.33783e-008,2.27977e-008,1.99292e-008,8.42907e-008,
524288,2.21695e-006,3.54352e-008,1.55238e-008,1.60778e-008,2.13882e-008,2.77278e-008,2.59028e-008,1.77974e-008,9.42137e-008,
1048576,3.41197e-006,1.59089e-007,1.76246e-008,1.71673e-008,2.20745e-008,3.43787e-008,3.00514e-008,1.66741e-008,1.0844e-007,
2097152,5.01758e-006,1.21364e-007,1.71402e-008,1.87649e-008,2.2927e-008,2.75719e-008,2.75215e-008,1.56099e-008,1.1444e-007,
4194304,8.20885e-006,1.78798e-007,1.97684e-008,1.99948e-008,2.31156e-008,3.28472e-008,3.09779e-008,1.50455e-008,1.24255e-007,
8388608,1.26863e-005,1.70688e-007,1.93063e-008,2.13862e-008,2.40758e-008,7.61498e-008,4.80881e-008,1.46196e-008,1.43605e-007,
