Space usage increasing length,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2,4,32,60,60,52,36,36,36,36,36,36,36,36,48,40,60,76,76,60,44,44,44,16,112,112,1e+008,1e+008,1e+008,1e+008,
4,4,80,84,84,84,44,44,44,44,44,44,44,44,64,52,76,92,92,76,80,80,80,32,172,172,1e+008,1e+008,1e+008,1e+008,
8,4,272,132,196,196,60,60,60,60,60,60,60,60,88,68,108,124,124,108,164,164,164,64,304,304,1e+008,1e+008,1e+008,1e+008,
16,4,1040,356,356,356,92,92,92,92,92,92,92,92,152,108,172,188,188,172,360,360,360,128,596,596,1e+008,1e+008,1e+008,1e+008,
32,4,4112,676,676,676,156,156,156,156,156,156,156,156,280,168,300,316,316,300,812,812,812,256,748,748,1e+008,1e+008,1e+008,1e+008,
64,4,16400,2340,2340,1316,284,284,284,284,284,284,284,284,520,316,556,572,572,556,1840,1840,1840,512,1520,1520,1e+008,1e+008,1e+008,1e+008,
128,4,65552,8740,4644,2596,540,540,540,540,540,540,540,540,1032,556,1068,1084,1084,1068,4148,4148,4148,1024,3188,3188,1e+008,1e+008,1e+008,1e+008,
256,4,262160,33828,17444,9252,1052,1052,1052,1052,1052,1052,1052,1052,2024,1116,2092,2108,2108,2092,9272,9272,9272,2048,6776,6776,1e+008,1e+008,1e+008,1e+008,
512,4,1.04859e+006,67620,34852,18468,2076,2076,2076,2076,2076,2076,2076,2076,4072,2140,4140,4156,4156,4140,20540,20540,20540,4096,10480,10480,1e+008,1e+008,1e+008,1e+008,
1024,4,4.19432e+006,266276,135204,36900,4124,4124,4124,4124,4124,4124,4124,4124,8104,4252,8236,8252,8252,8236,45120,45120,45120,8192,22104,22104,1e+008,1e+008,1e+008,1e+008,
2048,4,1.67772e+007,1.0568e+006,270372,73764,8220,8220,8220,8220,8220,8220,8220,8220,16296,8308,16428,16444,16444,16428,98372,98372,98372,16384,46672,46672,1e+008,1e+008,1e+008,1e+008,
4096,4,6.71089e+007,4.21072e+006,1.065e+006,147492,16412,16412,16412,16412,16412,16412,16412,16412,32552,16668,32812,32828,32828,32812,213064,213064,213064,32768,98576,98576,1e+008,1e+008,1e+008,1e+008,
8192,4,2.68435e+008,1.681e+007,2.12996e+006,294948,32796,32796,32796,32796,32796,32796,32796,32796,65320,33148,65580,65596,65596,65580,458828,458828,458828,65536,172752,172752,1e+008,1e+008,1e+008,1e+008,
16384,4,1.07374e+009,6.71744e+007,8.45418e+006,589860,65564,65564,65564,65564,65564,65564,65564,65564,130600,66076,131116,131132,131132,131116,983120,983120,983120,131072,361172,361172,1e+008,1e+008,1e+008,1e+008,
32768,4,4.29497e+009,2.68567e+008,1.69083e+007,1.17968e+006,131100,131100,131100,131100,131100,131100,131100,131100,261672,131796,262188,262204,262204,262188,2.09724e+006,2.09724e+006,2.09724e+006,262144,754392,754392,1e+008,1e+008,1e+008,1e+008,
65536,4,1.71799e+010,1.074e+009,6.7371e+007,4.45648e+006,262172,262172,262172,262172,262172,262172,262172,262172,523304,263196,524332,524348,524348,524332,4.45654e+006,4.45654e+006,4.45654e+006,524288,1.5736e+006,1.5736e+006,1e+008,1e+008,1e+008,1e+008,
131072,4,6.87195e+010,2.14801e+009,1.34742e+008,8.91293e+006,524316,524316,524316,524316,524316,524316,524316,524316,1.04759e+006,525652,1.04862e+006,1.04864e+006,1.04864e+006,1.04862e+006,9.43728e+006,9.43728e+006,9.43728e+006,1.04858e+006,2.72914e+006,2.72914e+006,1e+008,1e+008,1e+008,1e+008,
262144,4,2.74878e+011,8.59098e+009,5.3792e+008,1.78258e+007,1.0486e+006,1.0486e+006,1.0486e+006,1.0486e+006,1.0486e+006,1.0486e+006,1.0486e+006,1.0486e+006,2.09514e+006,1.05065e+006,2.0972e+006,2.09721e+006,2.09721e+006,2.0972e+006,1.9923e+007,1.9923e+007,1.9923e+007,2.09715e+006,5.66513e+006,5.66513e+006,1e+008,1e+008,1e+008,1e+008,
524288,4,1.09951e+012,3.43618e+010,1.07584e+009,3.56516e+007,2.09718e+006,2.09718e+006,2.09718e+006,2.09718e+006,2.09718e+006,2.09718e+006,2.09718e+006,2.09718e+006,4.1923e+006,2.09963e+006,4.19435e+006,4.19436e+006,4.19436e+006,4.19435e+006,4.19431e+007,4.19431e+007,4.19431e+007,4.1943e+006,1.17469e+007,1.17469e+007,1e+008,1e+008,1e+008,1e+008,
1048576,4,4.39805e+012,1.37443e+011,4.29916e+009,7.13032e+007,4.19433e+006,4.19433e+006,4.19433e+006,4.19433e+006,4.19433e+006,4.19433e+006,4.19433e+006,4.19433e+006,8.38455e+006,4.19843e+006,8.38865e+006,8.38867e+006,8.38867e+006,8.38865e+006,8.80805e+007,8.80805e+007,8.80805e+007,8.38861e+006,2.43298e+007,2.43298e+007,1e+008,1e+008,1e+008,1e+008,
2097152,4,1.75922e+013,5.49764e+011,8.59832e+009,1.42606e+008,8.38864e+006,8.38864e+006,8.38864e+006,8.38864e+006,8.38864e+006,8.38864e+006,8.38864e+006,8.38864e+006,1.67732e+007,8.39264e+006,1.67773e+007,1.67773e+007,1.67773e+007,1.67773e+007,1.84549e+008,1.84549e+008,1.84549e+008,1.67772e+007,4.4751e+007,4.4751e+007,1e+008,1e+008,1e+008,1e+008,
4194304,4,7.03687e+013,2.19904e+012,3.43765e+010,2.85213e+008,1.67772e+007,1.67772e+007,1.67772e+007,1.67772e+007,1.67772e+007,1.67772e+007,1.67772e+007,1.67772e+007,3.35463e+007,1.67854e+007,3.35545e+007,3.35545e+007,3.35545e+007,3.35545e+007,3.85876e+008,3.85876e+008,3.85876e+008,3.35544e+007,9.22865e+007,9.22865e+007,1e+008,1e+008,1e+008,1e+008,
8388608,4,2.81475e+014,8.79613e+012,6.8753e+010,5.70425e+008,3.35545e+007,3.35545e+007,3.35545e+007,3.35545e+007,3.35545e+007,3.35545e+007,3.35545e+007,3.35545e+007,6.71007e+007,3.35589e+007,6.71089e+007,6.71089e+007,6.71089e+007,6.71089e+007,8.05306e+008,8.05306e+008,8.05306e+008,6.71089e+007,1.90154e+008,1.90154e+008,1e+008,1e+008,1e+008,1e+008,
