All ´a´ string length 1000 by LCE value,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.72318e-009,3.67295e-008,1.92762e-008,1.91365e-008,1.77746e-008,1.48832e-008,1.46387e-008,1.53162e-008,1.38216e-008,1.46457e-008,1.38286e-008,1.38286e-008,1.38286e-008,1.98559e-008,1.79073e-008,1.83333e-008,1.79841e-008,2.77549e-008,1.75651e-008,3.78051e-008,1.76838e-008,1.84241e-008,4.47278e-007,5.22622e-008,5.51118e-008,1.06725e-006,5.97213e-008,7.24464e-008,6.36324e-008,
2,1.08394e-008,3.89854e-008,2.10641e-008,2.01422e-008,1.97302e-008,1.57003e-008,1.53302e-008,1.54768e-008,1.46038e-008,1.53302e-008,1.46038e-008,1.46038e-008,1.46108e-008,1.79422e-008,1.85987e-008,1.88502e-008,1.91016e-008,2.69448e-008,1.90946e-008,6.19911e-008,1.95625e-008,1.86756e-008,4.46796e-007,5.48952e-008,5.64108e-008,1.08099e-006,5.60406e-008,6.77391e-008,6.30946e-008,
3,1.04413e-008,3.68832e-008,2.27613e-008,2.23003e-008,2.10013e-008,1.62451e-008,1.61264e-008,1.64965e-008,1.53302e-008,1.61264e-008,1.53302e-008,1.53232e-008,1.53302e-008,1.99048e-008,2.03937e-008,2.00305e-008,2.05752e-008,2.79924e-008,1.74464e-008,7.75518e-008,2.29359e-008,2.52825e-008,4.42612e-007,5.4574e-008,5.62991e-008,1.03679e-006,5.59149e-008,6.5581e-008,6.97435e-008,
4,1.13492e-008,4.04381e-008,2.56806e-008,2.49822e-008,2.32152e-008,1.70692e-008,1.73067e-008,1.74743e-008,1.63848e-008,1.72857e-008,1.63848e-008,1.63917e-008,1.63848e-008,2.00514e-008,2.2e-008,2.11479e-008,2.25587e-008,2.89073e-008,1.84521e-008,4.9734e-008,2.34667e-008,2.79854e-008,4.44917e-007,5.46787e-008,5.64806e-008,1.04718e-006,5.60616e-008,7.37733e-008,6.47289e-008,
5,1.24317e-008,3.76095e-008,2.72521e-008,2.66025e-008,2.47029e-008,1.79562e-008,1.83962e-008,1.84241e-008,1.72578e-008,1.82076e-008,1.72648e-008,1.72648e-008,1.72578e-008,2.14552e-008,2.23702e-008,2.13365e-008,2.41302e-008,2.98781e-008,1.99397e-008,5.77727e-008,2.33968e-008,2.5527e-008,4.48004e-007,5.47206e-008,5.63898e-008,1.06254e-006,5.59987e-008,7.17689e-008,6.30876e-008,
6,1.38635e-008,3.75118e-008,2.92216e-008,2.77689e-008,2.68191e-008,1.83892e-008,1.94857e-008,1.9786e-008,1.85079e-008,1.95486e-008,1.85079e-008,1.85149e-008,1.85079e-008,2.25378e-008,2.37111e-008,2.16229e-008,2.58483e-008,3.08489e-008,2.0247e-008,6.93873e-008,2.37879e-008,2.84743e-008,4.45308e-007,5.46019e-008,5.65645e-008,1.03973e-006,5.61873e-008,7.04978e-008,6.57765e-008,
7,1.46946e-008,3.51441e-008,3.11143e-008,2.81181e-008,2.85581e-008,1.91225e-008,1.73765e-008,1.92483e-008,1.92552e-008,2.01911e-008,1.92552e-008,1.94717e-008,1.92622e-008,2.36343e-008,2.38997e-008,2.31873e-008,2.78876e-008,3.15124e-008,2.16089e-008,7.01975e-008,2.70495e-008,3.44318e-008,4.51356e-007,5.5e-008,5.4993e-008,1.04381e-006,5.94698e-008,6.94362e-008,6.5106e-008,
8,1.5833e-008,3.43898e-008,3.41524e-008,3.18756e-008,3.08419e-008,2.00514e-008,1.87524e-008,1.9793e-008,1.98e-008,2.10921e-008,1.98e-008,2.30756e-008,1.98e-008,2.51568e-008,2.85511e-008,2.35575e-008,3.01575e-008,3.24064e-008,2.23702e-008,5.20806e-008,2.75035e-008,3.48368e-008,4.19069e-007,5.44692e-008,5.3254e-008,1.06508e-006,5.69346e-008,6.83816e-008,6.34508e-008,
9,1.6734e-008,3.41803e-008,3.80775e-008,3.76235e-008,3.34121e-008,2.92914e-008,1.94717e-008,2.07359e-008,2.07289e-008,2.21327e-008,2.07359e-008,2.45283e-008,2.07429e-008,2.53803e-008,3.1701e-008,2.02051e-008,4.35181e-008,3.32514e-008,2.48286e-008,5.9854e-008,2.82089e-008,3.24203e-008,4.46384e-007,5.4553e-008,5.33168e-008,1.07512e-006,5.59498e-008,7.93467e-008,6.62864e-008,
10,2.66933e-008,3.41105e-008,3.83568e-008,4.08711e-008,3.46343e-008,2.22095e-008,2.05822e-008,2.77968e-008,2.80902e-008,2.97524e-008,2.80902e-008,2.92146e-008,3.00038e-008,2.59949e-008,3.19733e-008,2.08686e-008,4.33924e-008,3.11981e-008,2.34806e-008,6.74667e-008,2.82857e-008,3.28952e-008,4.41774e-007,5.47276e-008,5.79822e-008,1.09559e-006,5.58241e-008,7.0854e-008,6.48825e-008,
11,1.95276e-008,3.90343e-008,3.94883e-008,4.01308e-008,3.67016e-008,2.35784e-008,2.15321e-008,2.27822e-008,2.27822e-008,2.30546e-008,2.27822e-008,2.32432e-008,2.32432e-008,2.772e-008,2.84044e-008,2.12248e-008,4.41257e-008,3.25321e-008,2.288e-008,6.44076e-008,2.79644e-008,3.23994e-008,4.42256e-007,5.45949e-008,5.35333e-008,1.08541e-006,5.59079e-008,6.97365e-008,6.46521e-008,
12,2.04356e-008,3.90413e-008,4.05848e-008,4.32318e-008,3.82451e-008,2.3746e-008,2.25098e-008,2.21117e-008,2.21187e-008,2.42838e-008,2.21187e-008,2.1993e-008,2.21816e-008,2.86489e-008,3.27835e-008,2.22584e-008,4.47194e-008,3.39848e-008,2.77619e-008,7.10286e-008,2.82997e-008,3.28673e-008,4.48032e-007,5.48883e-008,5.33867e-008,1.07802e-006,5.62711e-008,6.83327e-008,6.64191e-008,
13,2.13644e-008,3.36495e-008,4.15765e-008,4.58368e-008,4.02705e-008,2.39835e-008,2.32711e-008,2.26425e-008,2.26356e-008,2.38578e-008,2.26356e-008,2.26356e-008,2.42489e-008,3.1701e-008,3.32025e-008,2.33549e-008,4.51384e-008,3.72743e-008,2.94381e-008,6.98133e-008,2.87117e-008,3.27625e-008,4.45944e-007,5.44064e-008,5.3226e-008,1.07507e-006,5.58032e-008,6.7313e-008,6.49803e-008,
14,2.25168e-008,3.43759e-008,4.0047e-008,4.54876e-008,4.12552e-008,2.46191e-008,1.892e-008,2.36273e-008,2.36273e-008,2.47727e-008,2.36343e-008,2.36343e-008,2.36343e-008,3.00876e-008,2.91797e-008,2.36552e-008,4.61092e-008,3.55771e-008,2.48705e-008,7.53029e-008,2.86e-008,3.32375e-008,4.37702e-007,5.47346e-008,5.33168e-008,1.0326e-006,5.61524e-008,6.60559e-008,6.36743e-008,
15,2.31454e-008,3.35867e-008,4.01797e-008,4.33365e-008,4.17232e-008,2.56597e-008,2.07917e-008,1.67689e-008,2.42349e-008,2.55479e-008,2.42279e-008,2.42349e-008,2.42349e-008,3.09956e-008,3.26019e-008,2.39765e-008,4.65562e-008,3.68343e-008,2.6421e-008,5.192e-008,3.16381e-008,4.23727e-008,4.44449e-007,5.44832e-008,5.44133e-008,1.07416e-006,5.59638e-008,7.75657e-008,6.66286e-008,
16,2.39276e-008,3.36006e-008,4.06406e-008,4.68146e-008,4.34483e-008,2.64559e-008,2.20559e-008,1.76629e-008,2.51289e-008,2.67283e-008,2.65397e-008,2.51289e-008,2.60229e-008,3.17917e-008,3.23994e-008,2.49892e-008,4.82883e-008,3.75187e-008,2.69168e-008,5.09213e-008,3.20571e-008,4.0941e-008,4.25676e-007,5.44343e-008,5.53911e-008,1.02998e-006,5.60476e-008,7.05048e-008,6.48895e-008,
17,2.44025e-008,3.43619e-008,4.05498e-008,5.1466e-008,4.57181e-008,2.72381e-008,2.26705e-008,1.85568e-008,2.70565e-008,2.73917e-008,2.596e-008,2.596e-008,2.596e-008,3.26159e-008,3.32305e-008,2.58483e-008,4.98946e-008,3.79448e-008,2.79505e-008,7.15384e-008,3.18197e-008,3.85803e-008,4.16883e-007,5.44413e-008,5.31492e-008,1.01572e-006,5.88483e-008,6.93384e-008,6.33321e-008,
18,2.56108e-008,3.41035e-008,4.1807e-008,5.10889e-008,4.71987e-008,2.83905e-008,2.38019e-008,1.94229e-008,2.89702e-008,2.86489e-008,2.71403e-008,2.71403e-008,2.71403e-008,3.31956e-008,3.44597e-008,2.21327e-008,4.57111e-008,4.11016e-008,2.87886e-008,7.2181e-008,3.21689e-008,3.93206e-008,4.14955e-007,5.43156e-008,5.31841e-008,1.01588e-006,5.88692e-008,6.82349e-008,6.62025e-008,
19,2.74756e-008,3.33562e-008,4.03962e-008,5.2381e-008,4.90984e-008,2.89771e-008,2.40952e-008,2.01422e-008,2.83206e-008,2.98851e-008,3.16521e-008,2.83276e-008,2.94171e-008,3.40686e-008,3.52838e-008,2.34806e-008,4.94616e-008,3.14356e-008,2.63791e-008,7.09168e-008,3.18686e-008,3.88667e-008,4.24719e-007,5.45251e-008,5.33518e-008,1.02278e-006,5.90857e-008,6.72502e-008,6.49035e-008,
20,2.67352e-008,3.35867e-008,4.14787e-008,5.52305e-008,5.05302e-008,2.97733e-008,2.43676e-008,2.09454e-008,2.9501e-008,3.11352e-008,3.48368e-008,2.96895e-008,2.9501e-008,3.48927e-008,3.51581e-008,2.63441e-008,5.01181e-008,3.31746e-008,2.8146e-008,6.43168e-008,3.23994e-008,3.93695e-008,4.24844e-007,5.4567e-008,5.34006e-008,1.03427e-006,5.90368e-008,7.18387e-008,6.47708e-008,
21,2.75943e-008,3.39568e-008,4.04241e-008,5.57962e-008,5.22692e-008,3.07232e-008,2.156e-008,2.17695e-008,3.06883e-008,3.23854e-008,3.52279e-008,3.50044e-008,3.08838e-008,3.70578e-008,3.75397e-008,2.62952e-008,5.07746e-008,3.42571e-008,2.91727e-008,6.6447e-008,3.20502e-008,4.12832e-008,4.18272e-007,5.43994e-008,5.31562e-008,1.04332e-006,5.88413e-008,7.04559e-008,6.62025e-008,
22,3.05556e-008,3.62895e-008,4.06895e-008,5.03346e-008,5.72e-008,3.19803e-008,2.288e-008,2.29429e-008,3.18825e-008,3.36425e-008,3.26997e-008,3.35937e-008,3.18825e-008,3.58006e-008,3.86013e-008,2.52616e-008,5.16756e-008,3.52698e-008,2.96127e-008,7.65181e-008,3.24902e-008,4.06965e-008,4.10653e-007,5.456e-008,5.33448e-008,1.03411e-006,5.88692e-008,6.94222e-008,6.48406e-008,
23,2.92286e-008,3.66108e-008,4.11365e-008,5.61035e-008,5.50489e-008,3.32165e-008,2.35575e-008,2.47517e-008,3.30559e-008,3.61079e-008,3.30629e-008,3.30698e-008,3.53257e-008,3.71276e-008,3.91321e-008,2.58064e-008,5.26324e-008,3.60451e-008,3.01575e-008,4.95594e-008,3.18895e-008,4.27987e-008,4.2254e-007,5.43714e-008,5.3233e-008,1.02128e-006,5.88972e-008,7.2614e-008,6.59721e-008,
24,3.00387e-008,3.36356e-008,4.05429e-008,5.71791e-008,5.67251e-008,3.71416e-008,2.464e-008,3.22806e-008,3.64013e-008,3.61568e-008,3.42641e-008,3.42571e-008,3.44806e-008,3.79867e-008,3.67086e-008,2.67003e-008,5.27022e-008,3.65829e-008,3.06254e-008,7.32845e-008,3.2113e-008,4.10806e-008,4.19963e-007,5.42108e-008,5.30445e-008,1.01391e-006,5.87295e-008,6.73759e-008,6.61537e-008,
25,3.42851e-008,3.3007e-008,4.06057e-008,5.57264e-008,5.84921e-008,3.38591e-008,2.47378e-008,2.7301e-008,3.96768e-008,3.74e-008,3.54375e-008,3.54375e-008,3.54514e-008,3.92997e-008,3.72533e-008,2.76362e-008,5.38895e-008,3.82032e-008,3.09327e-008,6.28292e-008,3.19524e-008,3.70159e-008,4.11463e-007,5.42387e-008,5.33238e-008,1.00834e-006,5.90508e-008,7.14825e-008,6.47149e-008,
26,4.01448e-008,3.33073e-008,4.04102e-008,5.55937e-008,5.98679e-008,3.52629e-008,2.61835e-008,2.58622e-008,3.66248e-008,3.86571e-008,3.66248e-008,4.11225e-008,3.66248e-008,3.96629e-008,3.79587e-008,2.80343e-008,5.62013e-008,3.77003e-008,3.12051e-008,7.01975e-008,3.23854e-008,3.71695e-008,4.10345e-007,5.43645e-008,5.31003e-008,1.04893e-006,5.57822e-008,6.98762e-008,6.35067e-008,
27,3.78121e-008,3.31676e-008,4.05918e-008,5.48883e-008,6.18864e-008,3.62267e-008,2.71892e-008,2.69937e-008,3.80216e-008,4.01587e-008,3.78121e-008,4.06406e-008,3.80356e-008,4.03124e-008,3.86641e-008,2.47587e-008,5.12495e-008,3.85524e-008,3.15822e-008,5.26114e-008,3.22597e-008,3.70229e-008,4.36466e-007,5.43016e-008,5.30654e-008,1.06264e-006,5.57124e-008,6.83676e-008,6.63632e-008,
