Random-10-Repeat-10 string length 1000 by LCE value,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
0,1.10349e-008,1.92762e-008,1.64825e-008,1.64825e-008,1.73206e-008,1.42476e-008,1.32e-008,1.35492e-008,1.32698e-008,1.32e-008,1.35492e-008,1.35492e-008,1.34794e-008,1.38286e-008,1.38984e-008,1.94159e-008,1.55048e-008,1.55048e-008,1.36889e-008,3.6527e-008,1.43175e-008,1.44571e-008,3.6534e-007,6.32762e-008,1.31302e-008,8.59886e-007,7.01905e-008,9.09333e-008,8.02476e-008,
1,1.11048e-008,1.92064e-008,1.90667e-008,1.87873e-008,1.94857e-008,1.68317e-008,1.69714e-008,1.69016e-008,1.65524e-008,1.71111e-008,1.70413e-008,1.66222e-008,1.65524e-008,2.05333e-008,1.98349e-008,1.96254e-008,2.00444e-008,2.80762e-008,2.01143e-008,4.24635e-008,1.87175e-008,1.99746e-008,8.90476e-008,6.48127e-008,6.64889e-008,1.44921e-007,7.06095e-008,9.15619e-008,8.0527e-008,
2,1.16635e-008,2.73778e-008,2.17905e-008,2.12318e-008,2.18603e-008,1.76698e-008,1.65524e-008,1.71111e-008,1.73905e-008,1.6273e-008,1.66921e-008,1.73905e-008,1.70413e-008,2.08127e-008,2.06032e-008,2.01143e-008,2.11619e-008,2.76571e-008,2.04635e-008,6.39048e-008,2.07429e-008,1.98349e-008,5.23111e-008,6.36254e-008,6.55111e-008,7.05397e-008,7.05397e-008,8.64635e-008,7.95492e-008,
3,1.22222e-008,1.55048e-008,2.24889e-008,2.21397e-008,2.26984e-008,1.85079e-008,1.73905e-008,1.79492e-008,1.83683e-008,1.73206e-008,1.7181e-008,1.79492e-008,1.83683e-008,2.1581e-008,2.24889e-008,2.10222e-008,2.23492e-008,2.83556e-008,2.06032e-008,7.70349e-008,2.36762e-008,2.43048e-008,4.83302e-008,5.9854e-008,6.16698e-008,6.08318e-008,6.71175e-008,8.02476e-008,7.41714e-008,
4,1.3619e-008,1.48064e-008,2.5073e-008,2.44444e-008,2.50032e-008,1.95556e-008,1.87175e-008,1.9346e-008,1.94857e-008,1.84381e-008,1.83683e-008,1.92762e-008,1.92064e-008,2.30476e-008,2.43048e-008,2.17905e-008,2.40952e-008,2.9054e-008,2.15111e-008,3.27556e-008,2.38857e-008,2.45841e-008,3.06603e-008,4.68635e-008,4.76318e-008,3.75048e-008,5.26603e-008,5.42667e-008,5.32889e-008,
5,1.46667e-008,1.52254e-008,2.66794e-008,2.61206e-008,2.66794e-008,1.96952e-008,1.92762e-008,2.0254e-008,2.03238e-008,1.9346e-008,1.9346e-008,2.03238e-008,2.0254e-008,2.40952e-008,2.30476e-008,2.19302e-008,2.57714e-008,2.98222e-008,2.1581e-008,4.94476e-008,2.38159e-008,2.45143e-008,3.08698e-008,4.67937e-008,4.74222e-008,3.77841e-008,5.25905e-008,5.48952e-008,5.44762e-008,
6,1.57841e-008,1.48762e-008,2.83556e-008,2.78667e-008,2.86349e-008,2.03238e-008,2.0254e-008,2.15111e-008,2.14413e-008,2.01143e-008,2.03937e-008,2.14413e-008,2.11619e-008,2.52127e-008,2.45841e-008,2.21397e-008,2.73079e-008,3.07302e-008,2.26984e-008,6.18794e-008,2.42349e-008,2.47238e-008,3.05905e-008,4.74222e-008,4.84e-008,3.79238e-008,5.39175e-008,5.48254e-008,5.41968e-008,
7,1.7181e-008,1.50857e-008,2.97524e-008,2.91238e-008,3.0381e-008,2.09524e-008,1.87175e-008,2.20698e-008,2.21397e-008,2.05333e-008,2.08825e-008,2.18603e-008,2.18603e-008,2.62603e-008,2.45143e-008,2.34667e-008,2.91937e-008,3.11492e-008,2.48635e-008,6.94222e-008,2.73079e-008,2.98222e-008,3.08698e-008,4.62349e-008,4.76318e-008,3.84825e-008,5.27302e-008,5.50349e-008,5.4546e-008,
8,1.78095e-008,1.48762e-008,3.19873e-008,3.27556e-008,3.48508e-008,2.17206e-008,2.01841e-008,2.25587e-008,2.28381e-008,2.15111e-008,2.15111e-008,2.26984e-008,2.24191e-008,2.78667e-008,2.87048e-008,2.39556e-008,3.14984e-008,3.17778e-008,2.51429e-008,3.26857e-008,2.7727e-008,3.01016e-008,3.12889e-008,4.67937e-008,4.81905e-008,3.89714e-008,5.29397e-008,5.48254e-008,5.51746e-008,
9,1.85778e-008,1.53651e-008,3.61079e-008,3.65968e-008,3.61079e-008,3.03111e-008,2.06032e-008,2.34667e-008,2.36762e-008,2.23492e-008,2.22794e-008,2.33968e-008,2.33968e-008,2.80762e-008,3.11492e-008,2.08825e-008,4.42095e-008,3.27556e-008,2.63302e-008,4.77714e-008,2.82159e-008,3.03111e-008,3.08698e-008,4.42095e-008,4.51873e-008,3.81333e-008,5.0146e-008,5.48952e-008,5.46857e-008,
10,2.76571e-008,1.54349e-008,3.64571e-008,3.58984e-008,3.60381e-008,2.32571e-008,2.11619e-008,3.10794e-008,3.2127e-008,2.93333e-008,2.93333e-008,3.08698e-008,3.08e-008,2.87048e-008,3.14286e-008,2.25587e-008,4.34413e-008,3.06603e-008,2.50032e-008,6.96318e-008,2.82159e-008,3.05905e-008,3.05206e-008,4.53968e-008,4.6654e-008,3.73651e-008,5.20318e-008,5.41968e-008,5.37778e-008,
11,2.12317e-008,1.50857e-008,3.73651e-008,3.75746e-008,3.76445e-008,2.38857e-008,2.20698e-008,2.43048e-008,2.44444e-008,2.3327e-008,2.29778e-008,2.41651e-008,2.43048e-008,3.04508e-008,2.89143e-008,2.31175e-008,4.43492e-008,3.2127e-008,2.59111e-008,5.27302e-008,2.78667e-008,3.00318e-008,3.07302e-008,4.39302e-008,4.50476e-008,3.79937e-008,5.00064e-008,5.44064e-008,5.40571e-008,
12,2.18603e-008,1.50857e-008,3.61079e-008,3.8273e-008,3.97397e-008,2.47937e-008,2.29778e-008,2.5073e-008,2.52825e-008,2.3746e-008,2.3746e-008,2.52127e-008,2.50032e-008,3.12191e-008,3.21968e-008,2.40254e-008,4.51873e-008,3.33841e-008,2.69587e-008,6.32064e-008,2.83556e-008,3.07302e-008,3.12889e-008,4.72127e-008,4.85397e-008,3.83429e-008,5.4127e-008,5.46857e-008,5.44762e-008,
13,2.27683e-008,1.4946e-008,3.83429e-008,4.02984e-008,4.1346e-008,2.55619e-008,2.39556e-008,2.58413e-008,2.56317e-008,2.45143e-008,2.45143e-008,2.54222e-008,2.54921e-008,3.28254e-008,3.24762e-008,2.50032e-008,4.56762e-008,3.41524e-008,2.79365e-008,5.6781e-008,2.87048e-008,3.07302e-008,3.05905e-008,4.74921e-008,4.88191e-008,3.82032e-008,5.37079e-008,5.48952e-008,5.44064e-008,
14,2.40254e-008,1.50159e-008,4.00191e-008,4.23937e-008,4.30921e-008,2.65397e-008,2.01143e-008,2.65397e-008,2.66095e-008,2.53524e-008,2.66794e-008,2.64698e-008,2.66095e-008,3.31746e-008,2.91937e-008,2.52127e-008,4.65841e-008,3.49905e-008,2.78667e-008,6.89333e-008,2.87048e-008,3.14286e-008,3.07302e-008,4.73524e-008,4.86794e-008,3.84127e-008,7.20762e-008,5.58032e-008,5.43365e-008,
15,2.47937e-008,1.46667e-008,4.07873e-008,4.63048e-008,4.47683e-008,2.73079e-008,2.15111e-008,1.95556e-008,2.74476e-008,2.56318e-008,2.74476e-008,2.73079e-008,2.73778e-008,3.40127e-008,3.29651e-008,2.53524e-008,4.68635e-008,3.58984e-008,2.91937e-008,4.54667e-008,3.09397e-008,3.65968e-008,3.05206e-008,4.37905e-008,4.63746e-008,3.77841e-008,4.72127e-008,5.46857e-008,5.4546e-008,
16,2.58413e-008,1.4527e-008,3.75746e-008,4.34413e-008,4.48381e-008,2.78667e-008,2.22095e-008,2.07429e-008,2.80762e-008,2.66794e-008,2.66095e-008,2.77968e-008,2.8146e-008,3.53397e-008,3.21968e-008,2.64e-008,4.90286e-008,3.66667e-008,2.9473e-008,3.26159e-008,3.14984e-008,3.54794e-008,3.10095e-008,4.67238e-008,4.81206e-008,3.85524e-008,5.00762e-008,5.50349e-008,5.74794e-008,
17,2.72381e-008,1.51556e-008,3.97397e-008,4.5746e-008,4.88889e-008,2.87048e-008,2.3327e-008,2.14413e-008,2.92635e-008,2.9054e-008,2.75175e-008,2.91937e-008,2.91238e-008,3.53397e-008,3.28254e-008,2.74476e-008,5.1473e-008,3.72254e-008,3.05206e-008,6.64191e-008,3.14984e-008,3.63175e-008,3.11492e-008,4.65143e-008,4.77016e-008,3.86222e-008,4.99365e-008,5.52445e-008,5.5454e-008,
18,2.84952e-008,1.52254e-008,4.15556e-008,4.67937e-008,5.06349e-008,2.96127e-008,2.45143e-008,2.2e-008,3.0381e-008,3.0381e-008,2.87048e-008,3.01714e-008,3.01016e-008,3.58984e-008,3.38032e-008,2.41651e-008,4.60254e-008,3.77841e-008,3.12191e-008,6.96318e-008,3.17778e-008,3.58984e-008,3.06603e-008,4.36508e-008,4.52571e-008,3.79937e-008,4.74222e-008,5.44762e-008,5.46857e-008,
19,2.87746e-008,1.4946e-008,4.18349e-008,4.77016e-008,5.49651e-008,3.04508e-008,2.47238e-008,2.31873e-008,3.13587e-008,3.16381e-008,2.97524e-008,3.16381e-008,3.12191e-008,3.84127e-008,3.4781e-008,2.53524e-008,4.9727e-008,3.28952e-008,2.94032e-008,5.65016e-008,3.17079e-008,3.56889e-008,3.09397e-008,4.72825e-008,4.85397e-008,3.82032e-008,5.11238e-008,5.52445e-008,5.69206e-008,
20,2.99619e-008,1.50159e-008,3.62476e-008,4.72825e-008,5.12635e-008,3.09397e-008,2.45143e-008,2.40254e-008,3.24064e-008,3.24762e-008,3.10794e-008,3.35937e-008,3.24064e-008,3.77841e-008,3.45714e-008,2.49333e-008,5.02857e-008,3.45016e-008,3.11492e-008,5.6781e-008,3.15683e-008,3.58286e-008,3.06603e-008,4.4e-008,4.53968e-008,3.8273e-008,4.77016e-008,5.48952e-008,5.77587e-008,
21,2.87746e-008,1.52254e-008,3.89016e-008,4.93079e-008,5.29397e-008,3.24762e-008,2.23492e-008,2.5073e-008,3.3873e-008,3.40127e-008,3.2127e-008,3.2546e-008,3.35937e-008,3.84825e-008,3.67365e-008,2.65397e-008,5.11238e-008,3.55492e-008,3.23365e-008,4.76318e-008,3.15683e-008,3.62476e-008,3.07302e-008,4.74921e-008,4.88889e-008,3.84127e-008,5.19619e-008,5.53841e-008,5.81079e-008,
22,2.93333e-008,1.53651e-008,3.91111e-008,5.00064e-008,5.39175e-008,3.31048e-008,2.36064e-008,2.55619e-008,3.48508e-008,3.48508e-008,3.52698e-008,3.47111e-008,3.4781e-008,3.83429e-008,3.70857e-008,2.65397e-008,5.14032e-008,3.59683e-008,3.3873e-008,6.6e-008,3.17079e-008,3.61079e-008,3.0381e-008,4.68635e-008,4.83302e-008,3.75048e-008,5.02857e-008,5.44064e-008,5.67111e-008,
